Open,CLose,High,Low,Volume,Time
1.898359000000000015e+04,1.912000000000000000e+04,1.892229999999999927e+04,1.897859999999999854e+04,6.955246839999999793e+03,1.662498000000000000e+12
1.897859999999999854e+04,1.900000000000000000e+04,1.888061999999999898e+04,1.890913999999999942e+04,8.469176680000000488e+03,1.662501600000000000e+12
1.890809000000000015e+04,1.892000000000000000e+04,1.878213000000000102e+04,1.879061000000000058e+04,9.848819279999999708e+03,1.662505200000000000e+12
1.879061000000000058e+04,1.887316999999999825e+04,1.865618999999999869e+04,1.883311000000000058e+04,1.585622484000000077e+04,1.662508800000000000e+12
1.883311000000000058e+04,1.886122000000000116e+04,1.876415000000000146e+04,1.878765000000000146e+04,1.072761926999999923e+04,1.662512400000000000e+12
1.878765000000000146e+04,1.882852999999999884e+04,1.851077000000000044e+04,1.861113000000000102e+04,1.536698897000000034e+04,1.662516000000000000e+12
1.861075000000000000e+04,1.874933000000000175e+04,1.860815999999999985e+04,1.874584999999999854e+04,1.126160114000000067e+04,1.662519600000000000e+12
1.874500999999999840e+04,1.876059999999999854e+04,1.867122000000000116e+04,1.872161999999999898e+04,9.598917999999999665e+03,1.662523200000000000e+12
1.872088999999999942e+04,1.879968000000000029e+04,1.870722999999999956e+04,1.875906999999999971e+04,8.967775849999999991e+03,1.662526800000000000e+12
1.875931000000000131e+04,1.884368000000000029e+04,1.872647999999999956e+04,1.879295000000000073e+04,9.070452869999999166e+03,1.662530400000000000e+12
1.879379999999999927e+04,1.882397000000000116e+04,1.872297999999999956e+04,1.880043000000000029e+04,1.022087606000000051e+04,1.662534000000000000e+12
1.879961000000000058e+04,1.885997999999999956e+04,1.876800000000000000e+04,1.880497999999999956e+04,9.204160429999999906e+03,1.662537600000000000e+12
1.880499000000000160e+04,1.882366999999999825e+04,1.876404000000000087e+04,1.878818999999999869e+04,7.343080740000000333e+03,1.662541200000000000e+12
1.878818999999999869e+04,1.880434999999999854e+04,1.873000999999999840e+04,1.874870999999999913e+04,8.188960269999999582e+03,1.662544800000000000e+12
1.874870999999999913e+04,1.878254000000000087e+04,1.869122000000000116e+04,1.873959000000000015e+04,9.886099630000000616e+03,1.662548400000000000e+12
1.873977999999999884e+04,1.878647000000000116e+04,1.867433000000000175e+04,1.877990000000000146e+04,1.065608588000000054e+04,1.662552000000000000e+12
1.877990000000000146e+04,1.893179999999999927e+04,1.877338999999999942e+04,1.884036000000000058e+04,1.894242079000000012e+04,1.662555600000000000e+12
1.884093000000000029e+04,1.896858000000000175e+04,1.881422000000000116e+04,1.890570999999999913e+04,1.484605437999999958e+04,1.662559200000000000e+12
1.890570999999999913e+04,1.893616999999999825e+04,1.884966999999999825e+04,1.887134999999999854e+04,1.122850533999999971e+04,1.662562800000000000e+12
1.887059999999999854e+04,1.898122000000000116e+04,1.885041999999999825e+04,1.891640999999999985e+04,1.319570226000000002e+04,1.662566400000000000e+12
1.891640999999999985e+04,1.903188000000000102e+04,1.890600000000000000e+04,1.899895000000000073e+04,1.209376272000000063e+04,1.662570000000000000e+12
